"ingredient_id","ingredient_id_old","portion_id","name"
"421e015a-bde1-48c3-9f9b-68f0371256be","5af2be24ae08b5194415a1c9","817454fa-9b8b-4b82-b093-125a8fc11f4b",Baharat
"10202ca7-aba7-48a2-b8ce-1bbf5ab3bf02","5c8bcd9ce3f3397358648c95","110c9f58-1b2d-4169-a0f6-cca8fc628bc5",Beurre
"50b05986-40c9-4736-a8c9-0f0b51b8247f","63e5122181b4b295e66f0258","1aa6700b-1846-4d4d-aca2-1ddb3f362a10",Beurre
"459333a3-1f44-4f4a-94cf-a1796b86d644","5c8bcda5e3f33973013052b2","9ced7c39-6cd1-4c47-901e-aa2efa4c9def",Cannelle en poudre
a4f86f11-af07-4057-bd56-bc8f4c95e834,"6405bf6aaf4af6d531d50b9c","1ead8fe8-aac9-4526-a3cc-6287baa5acf4",Cannelle en poudre
dc0eda4c-a871-4a29-825b-18a1c243da1f,"5fbe2dd103cb4c62ac01428c","64ece6cb-1422-4fa1-9516-5d45ea92d0a6",Cassonade
a1021713-ae59-44e5-a855-c171837e293e,"63e5122dbc1d64f7b96e270c","61782b7f-090b-4597-b697-9b5071397f73",Cassonade
"16a2926b-632c-44a7-acff-826134ffabd5","5af2c14fae08b51b804e58b6","908edaab-7af0-463b-9206-9f655258da39",Citronnelle moulue
"9451e7cb-fb61-4d0b-ada8-cf29ae517c92","5c8bcdace3f339730507bc43",aa956d94-2256-4ba2-af50-8a49e4be533b,Coriandre moulue
"65ab139d-2dcc-46f8-bc2d-663387e6872c","5c8bcda2e3f339735c318342","4066b1dd-0237-46e2-868f-ea1873bef9cf",Cumin en poudre
a2da5303-9592-43ee-a22e-31fea986a6a3,"5c950d77c445fa28926e8833",f4e6a2eb-8b1d-480e-8d22-f40e16607211,Curcuma en poudre
"5caec1f2-23fc-4533-b191-fde818382d81","6405bf8bb9d07cd5d38d7b0d","70fc7a02-c617-4cda-b067-3c6ae7b336cb",Curcuma en poudre
